Quantity,Band-averaged opacity,Input luminosity,Escaped luminosity,Escape fraction,Mean optical depth
B-band,9969.449246399641,2932.7161843717936,1588.379203888788,0.5416068599999999,0.613214891289989
V-band,7391.2019919876775,1244.7527878588432,785.5847696903884,0.6311171,0.4602638552115641
K-band,1589.2745402601843,31.582667675404256,28.523705026528894,0.9031442599999999,0.10187298195717794
