Quantity,Band-averaged opacity,Input luminosity,Escaped luminosity,Escape fraction,Mean optical depth
B-band,9969.449246399641,1.1226437553775227e+37,5.738434419844903e+36,0.51115364,0.6710850686071694
V-band,7391.2019919876775,4.764913671923652e+36,2.890573030493022e+36,0.60663702,0.49982465690535993
K-band,1589.2745402601843,1.208984518614475e+35,1.0846680861712266e+35,0.89717285,0.10850673760536465
